Metric,Acceptor_400,Acceptor_2k,Donor_400,Donor_2k
Top-0.5L Accuracy,0.016035220938686486,0.015348574198238953,0.011713385572340253,0.010945956862428306
Top-1L Accuracy,0.012319001555021507,0.011894904780176505,0.008885837187228629,0.008805056849162914
Top-2L Accuracy,0.019326695882222265,0.018276551487367974,0.012823878667932226,0.01290465900599794
Top-4L Accuracy,0.030575357957873053,0.028616434759779468,0.019407476220287982,0.019185330290607268
AUPRC,0.0014270416262992206,0.0012696093729136178,0.0011914023298902378,0.0007195584471710653
Threshold@0.5L,0.5111244320869446,0.8127544820308685,0.7064726948738098,0.7038997113704681
Threshold@1L,0.2209508791565895,0.4282556474208832,0.3778538107872009,0.2922179736196995
Threshold@2L,0.06496688816696405,0.095662297680974,0.11582894250750542,0.060076336376369
Threshold@4L,0.015773013001307845,0.013753497041761875,0.023853883612900972,0.009419296984560788
N,49517.0,49517.0,49517.0,49517.0
