Metric,Acceptor_400,Acceptor_2k,Donor_400,Donor_2k
Top-0.5L Accuracy,0.0014944664350916876,0.0014944664350916876,0.0013732934808950643,0.0011713385572340253
Top-1L Accuracy,0.0011713149019528647,0.001211705070985722,0.0014338510006664377,0.0011713149019528647
Top-2L Accuracy,0.0017771674374457258,0.0018377526909950119,0.0025041904800371588,0.0021810691277742997
Top-4L Accuracy,0.0030090675929478764,0.002847506916816447,0.003796675889088596,0.003776480804572167
AUPRC,0.00027541025322899476,0.0002773581076442649,0.000377565828566619,0.00029899304100030266
Threshold@0.5L,0.6198450177907944,0.8473372459411621,0.8342038094997406,0.7130958884954453
Threshold@1L,0.3126252070069313,0.4981663078069687,0.5752422288060188,0.3211253136396408
Threshold@2L,0.10218818672001362,0.12493597343564034,0.23123539984226227,0.07272584829479456
Threshold@4L,0.0259473011828959,0.01811303780414164,0.053303646855056286,0.012295626802369952
N,49517.0,49517.0,49517.0,49517.0
