Metric,Acceptor_400,Acceptor_2k,Donor_400,Donor_2k
Top-0.5L Accuracy,0.6244366549824737,0.7039726256050742,0.6160908028709732,0.699298948422634
Top-1L Accuracy,0.4086546486396261,0.44625271240193626,0.4051493907527959,0.45096811884493404
Top-2L Accuracy,0.4616925388082123,0.48230679352361877,0.46185945585044236,0.48777332665665163
Top-4L Accuracy,0.4843515272909364,0.4958270739442497,0.4861876147554665,0.4971206810215323
AUPRC,0.3229544711453759,0.37402982729899675,0.3155529138283701,0.3646428116998024
Threshold@0.5L,0.8942559361457825,0.9883610159158707,0.9348627924919128,0.9777678549289703
Threshold@1L,0.5138310790061951,0.8455517143011093,0.6420127302408218,0.7503486424684525
Threshold@2L,0.13347206637263298,0.2807731553912163,0.1937774196267128,0.18768217414617538
Threshold@4L,0.026151384226977825,0.03374891355633736,0.0350867654196918,0.022071164567023516
N,23964.0,23964.0,23964.0,23964.0
