A0A2U3U0J3	0	chr1	+	65419	71585	65433,65573	65520,69037
R4GN28	0	chr1	-	134901	139379	135802	137621
Q6IEY1	0	chr1	+	367640	368634		
Q6IEY1	0	chr1	-	621096	622034		
A0A087WU74	0	chr1	+	859303	879954	860328,861393,865716,866469,871276,874509,874792,876686,877631,877868,878438,878757,879188	861302,865535,866419,871152,874420,874655,876524,877516,877790,877939,878633,879078,879288
Q9Y3T9	0	chr1	-	879583	894636	880180,880526,881033,881666,881925,883612,883983,886618,887519,887980,888668,889272,889462,891393,891595,892405,892653,894461	880437,880898,881553,881782,883511,883870,886507,887380,887792,888555,889162,889384,891303,891475,892274,892479,894309,894595
Q6TDP4	0	chr1	+	895964	901099	896180,896932,897130,897427,897851,898297,898633,898884,899388,899560,899910	896673,897009,897206,897735,898084,898489,898717,899300,899487,899729,900343
Q494U1	0	chr1	+	901862	911245	901994,902183,905803,905981,906138,906386,906588,906784,907530,907804,908390,908706,909020,909431,909744	902084,905657,905901,906066,906259,906493,906704,907455,907668,908241,908566,908880,909213,909696,909822
Q5SV97	0	chr1	-	910578	917473	911649,912004,916553	911879,914261,917445
Q9HCC6	0	chr1	-	934344	935477	934812,934993,935167	934906,935072,935246
P05161	0	chr1	+	948877	949920	948956	949364
O00468	0	chr1	+	955500	991496	955753,957842,970704,976260,976777,977082,977542,978837,979112,979403,979637,979819,980657,980903,981256,981468,981645,982115,982337,982834,983067,983275,983745,984439,984831,985175,985417,985709,985971,986217,986749,987025,987195,989357,989931	957581,970657,976045,976553,976858,977336,978619,978918,979203,979489,979714,980541,980739,981113,981344,981540,981777,982200,982707,982953,983156,983392,984247,984616,984946,985283,985613,985807,986106,986633,986833,987108,989133,989828,990204
E7ERA6	0	chr1	-	1006347	1009686	1007955	1009396
Q96HA4	0	chr1	-	1017203	1051469	1018367,1019763,1019886,1021392,1022584,1022977,1025808,1026945,1027483	1019733,1019861,1021258,1022519,1022882,1025733,1026852,1027371,1051440
Q6ZVT0	0	chr1	+	1109260	1133316	1109306,1109701,1109869,1114713,1115117,1115720,1115981,1116240,1117195,1117826,1118427,1119471,1120489,1132096,1132566	1109665,1109804,1114569,1115037,1115414,1115863,1116111,1117121,1117741,1118256,1119300,1120349,1131980,1132473,1132818
Q9Y5U5	0	chr1	-	1138888	1141972	1139348,1139616,1139866,1140872	1139414,1139779,1140750,1141765
P43489	0	chr1	-	1146720	1149533	1147005,1147212,1147518,1148084,1148473,1149165	1147084,1147322,1148018,1148372,1149043,1149363
A0A5F9UP49	0	chr1	-	1152311	1167381	1153068,1154013,1154307,1158737,1159348,1164326	1153838,1154149,1158624,1159212,1163848,1167272
Q96L58	0	chr1	+	1167617	1170421		
Q5T7M4	0	chr1	-	1177833	1182102	1178026,1178293,1178532,1178932,1179485,1179655,1179877	1178215,1178442,1178824,1179334,1179571,1179761,1181894
Q8N2K1	0	chr1	-	1189292	1209234	1190867,1191505,1192510,1192690,1198766,1203372	1191425,1192372,1192588,1198726,1203242,1209046
P51172	0	chr1	+	1215816	1227405	1216046,1216677,1216990,1217695,1219470,1221044,1221658,1222355,1222679,1222976,1223216,1223417,1225768,1225935,1226074,1226333,1226520	1216606,1216791,1217622,1219358,1220951,1221306,1222148,1222489,1222888,1223053,1223319,1225651,1225857,1226017,1226275,1226445,1226634
